Position (mm),Shear Force (N),Bending Moment (N*mm)
0.0,2500.0,-2000000.0
210.52631578947367,2289.4736842105262,-1495844.8753462604
421.05263157894734,2078.9473684210525,-1036011.08033241
631.578947368421,1868.421052631579,-620498.6149584488
842.1052631578947,1657.8947368421054,-249307.47922437685
1052.6315789473683,1447.3684210526317,77562.32686980581
1263.157894736842,1236.842105263158,360110.80332409963
1473.6842105263156,1026.3157894736844,598337.9501385037
1684.2105263157894,815.7894736842106,792243.7673130189
1894.7368421052631,605.2631578947369,941828.2548476448
2105.2631578947367,394.73684210526335,1047091.4127423814
2315.7894736842104,184.2105263157896,1108033.2409972292
2526.315789473684,-26.315789473684163,1124653.7396121877
2736.842105263158,-236.84210526315792,1096952.908587257
2947.368421052631,-447.3684210526312,1024930.7479224373
3157.894736842105,-657.894736842105,908587.2576177283
3368.4210526315787,-868.4210526315787,747922.4376731301
3578.9473684210525,-1078.9473684210525,542936.2880886425
3789.4736842105262,-1289.4736842105262,293628.8088642657
4000.0,0.0,157894.73684210517
